Period,Visitors
01-Jan-86,1878
01-Feb-86,1743
01-Mar-86,2014
01-Apr-86,1944
01-May-86,2207
01-Jun-86,2065
01-Jul-86,2135
01-Aug-86,2179
01-Sep-86,2195
01-Oct-86,2184
01-Nov-86,2210
01-Dec-86,2193
01-Jan-87,2137
01-Feb-87,2225
01-Mar-87,2202
01-Apr-87,2330
01-May-87,2370
01-Jun-87,2307
01-Jul-87,2282
01-Aug-87,2361
01-Sep-87,2299
01-Oct-87,2265
01-Nov-87,2363
01-Dec-87,2306
01-Jan-88,2145
01-Feb-88,2261
01-Mar-88,2264
01-Apr-88,2371
01-May-88,2297
01-Jun-88,2438
01-Jul-88,2490
01-Aug-88,2370
01-Sep-88,2518
01-Oct-88,2655
01-Nov-88,2515
01-Dec-88,2506
01-Jan-89,2630
01-Feb-89,2721
01-Mar-89,2594
01-Apr-89,2468
01-May-89,2592
01-Jun-89,2570
01-Jul-89,2516
01-Aug-89,2654
01-Sep-89,2616
01-Oct-89,2550
01-Nov-89,2378
01-Dec-89,2744
01-Jan-90,2699
01-Feb-90,2597
01-Mar-90,2324
01-Apr-90,2590
01-May-90,2552
01-Jun-90,2709
01-Jul-90,2701
01-Aug-90,2689
01-Sep-90,2719
01-Oct-90,2718
01-Nov-90,2634
01-Dec-90,2218
01-Jan-91,2549
01-Feb-91,2389
01-Mar-91,2450
01-Apr-91,2746
01-May-91,2384
01-Jun-91,2435
01-Jul-91,2635
01-Aug-91,2688
01-Sep-91,2696
01-Oct-91,2662
01-Nov-91,2682
01-Dec-91,2493
01-Jan-92,2821
01-Feb-92,2816
01-Mar-92,2886
01-Apr-92,2977
01-May-92,3026
01-Jun-92,2599
01-Jul-92,2896
01-Aug-92,2835
01-Sep-92,2861
01-Oct-92,2683
01-Nov-92,2875
01-Dec-92,2556
01-Jan-93,3029
01-Feb-93,3171
01-Mar-93,3082
01-Apr-93,2817
01-May-93,2953
01-Jun-93,3083
01-Jul-93,3123
01-Aug-93,3087
01-Sep-93,3095
01-Oct-93,3214
01-Nov-93,3084
01-Dec-93,2982
01-Jan-94,3190
01-Feb-94,3330
01-Mar-94,3290
01-Apr-94,3230
01-May-94,3330
01-Jun-94,3360
01-Jul-94,3260
01-Aug-94,3440
